date,open,high,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,close
2019-08-08,33.67,34.25,33.32,31912.16,-0.03,-0.09,33.482,34.276,34.152,40815.43,41926.08,42423.67,33.57
2019-08-07,32.88,34.11,32.79,49870.93,1.04,3.19,33.774,34.449,34.141,42192.74,42748.13,42289.1,33.6
2019-08-06,32.73,33.18,31.7,50342.58,-0.99,-2.95,34.214,34.604,34.132,44068.06,42560.29,41623.64,32.56
2019-08-05,34.28,34.55,33.55,33157.47,-0.58,-1.7,34.662,34.852,34.176,42947.29,43659.62,42097.24,33.55
2019-08-02,33.83,34.75,33.45,38794.01,-0.9,-2.57,34.932,34.827,34.182,44971.42,44312.22,44468.06,34.13
2019-08-01,35.38,35.78,34.8,38798.71,-0.77,-2.15,35.07,34.82,34.253,43036.73,46795.94,44423.71,35.03
2019-07-31,34.66,35.8,34.3,59247.55,1.0,2.87,35.124,34.599,34.299,43303.52,46277.97,44075.89,35.8
2019-07-30,34.96,35.5,34.64,44738.72,-0.1,-0.29,34.994,34.392,34.304,41052.52,42508.16,42601.61,34.8
2019-07-29,34.86,36.0,34.51,43278.13,0.08,0.23,35.042,34.27,34.379,44371.95,42097.3,42302.88,34.9
2019-07-26,35.11,35.27,34.65,29120.54,-0.48,-1.36,34.722,34.182,34.481,43653.01,43409.3,43113.55,34.82
2019-07-25,35.11,35.4,34.73,40132.67,0.15,0.43,34.57,34.028,34.549,50555.15,42921.25,44332.08,35.3
2019-07-24,35.04,35.59,34.72,47992.56,0.11,0.31,34.074,33.832,34.556,49252.41,41830.07,44034.92,35.15
2019-07-23,33.38,35.5,33.19,61335.85,1.74,5.22,33.79,33.659,34.557,43963.8,40686.99,43502.97,35.04
2019-07-22,34.27,34.43,33.03,39683.41,-0.76,-2.23,33.498,33.499,34.551,39822.65,40534.85,42116.55,33.3
2019-07-19,32.81,34.65,32.81,63631.27,1.24,3.78,33.642,33.537,34.657,43165.6,44623.9,43232.67,34.06
2019-07-18,33.34,33.64,32.73,33618.96,-0.91,-2.7,33.486,33.686,34.712,35287.35,42051.48,42707.69,32.82
2019-07-17,33.58,33.99,33.28,21549.49,0.15,0.45,33.59,33.999,34.804,34407.74,41873.82,43686.57,33.73
2019-07-16,34.02,34.3,33.28,40630.1,-0.44,-1.29,33.528,34.216,34.825,37410.17,42695.05,46358.88,33.58
2019-07-15,32.88,34.68,32.51,56398.17,0.74,2.22,33.5,34.488,34.841,41247.06,42508.47,47523.93,34.02
2019-07-12,33.09,33.68,32.7,24240.04,-0.06,-0.18,33.432,34.779,34.773,46082.21,42817.8,46110.23,33.28
2019-07-11,33.82,34.0,33.06,29220.89,-0.08,-0.24,33.886,35.07,34.771,48815.61,45742.9,47416.37,33.34
2019-07-10,33.81,34.05,33.2,36561.67,-0.02,-0.06,34.408,35.28,34.796,49339.9,46239.76,49740.45,33.42
2019-07-09,33.77,34.24,33.0,59814.54,-0.24,-0.71,34.904,35.455,34.776,47979.93,46318.95,49572.19,33.44
2019-07-08,35.71,35.85,32.68,80573.9,-1.87,-5.26,35.476,35.602,34.765,43769.88,43698.24,49835.35,33.68
2019-07-05,36.06,36.09,34.9,37907.05,-0.4,-1.11,36.126,35.776,34.699,39553.39,41841.43,47997.32,35.55
2019-07-04,36.13,36.7,35.65,31842.33,0.05,0.14,36.254,35.738,34.497,42670.19,43363.91,48592.63,35.95
2019-07-03,36.22,36.25,35.5,29761.85,-0.4,-1.1,36.152,35.609,34.269,43139.63,45499.31,50025.39,35.9
2019-07-02,36.7,37.4,36.12,38764.27,-0.63,-1.71,36.006,35.434,34.072,44657.97,50022.71,53062.52,36.3
2019-07-01,36.9,37.55,36.36,59491.46,0.74,2.04,35.728,35.194,33.906,43626.6,52539.38,55532.4,36.93
