date,open,high,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,close
2019-08-08,5.47,5.48,5.39,173025.17,-0.01,-0.18,5.51,5.668,5.787,141602.67,138624.99,137185.82,5.43
2019-08-07,5.48,5.48,5.43,66198.31,-0.03,-0.55,5.576,5.716,5.807,139233.87,129401.49,135252.11,5.44
2019-08-06,5.51,5.52,5.36,172608.58,-0.1,-1.79,5.65,5.761,5.826,148638.82,133739.4,138235.77,5.47
2019-08-05,5.62,5.65,5.57,139707.89,-0.07,-1.24,5.728,5.799,5.848,139315.08,129505.76,137519.74,5.57
2019-08-02,5.69,5.71,5.61,156473.42,-0.12,-2.08,5.778,5.828,5.87,142160.73,130114.86,137483.29,5.64
2019-08-01,5.79,5.81,5.73,161181.16,-0.05,-0.86,5.826,5.859,5.894,135647.31,124693.47,133297.91,5.76
2019-07-31,5.84,5.84,5.79,113223.04,-0.05,-0.85,5.856,5.878,5.912,119569.1,120264.02,131307.58,5.81
2019-07-30,5.83,5.89,5.83,125989.87,0.04,0.69,5.872,5.898,5.925,118839.97,134483.12,131141.88,5.86
2019-07-29,5.9,5.9,5.8,153936.16,-0.06,-1.02,5.87,5.902,5.937,119696.45,133672.62,130370.64,5.82
2019-07-26,5.92,5.93,5.84,123906.32,-0.03,-0.51,5.878,5.908,5.953,118069.0,135925.44,130643.88,5.88
2019-07-25,5.89,5.92,5.87,80790.1,0.02,0.34,5.892,5.905,5.96,113739.63,135746.65,129408.51,5.91
2019-07-24,5.87,5.93,5.86,109577.42,0.04,0.68,5.9,5.897,5.975,120958.94,141102.74,131543.37,5.89
2019-07-23,5.86,5.89,5.84,130272.24,-0.01,-0.17,5.924,5.891,5.989,150126.26,142732.14,129786.12,5.85
2019-07-22,5.97,5.97,5.78,145798.91,-0.09,-1.51,5.934,5.896,6.005,147648.78,145533.72,131066.93,5.86
2019-07-19,5.94,5.99,5.94,102259.5,0.0,0.0,5.938,5.911,6.024,153781.89,144851.71,129077.68,5.95
2019-07-18,6.01,6.02,5.92,116886.63,-0.06,-1.0,5.918,5.929,6.04,157753.67,141902.35,133167.03,5.95
2019-07-17,5.91,6.09,5.91,255414.02,0.11,1.86,5.894,5.945,6.054,161246.54,142351.13,136885.14,6.01
2019-07-16,5.86,5.91,5.85,117884.85,0.02,0.34,5.858,5.952,6.06,135338.01,127800.64,131887.29,5.9
2019-07-15,5.84,5.91,5.72,176464.45,0.03,0.51,5.858,5.972,6.07,143418.65,127068.66,131061.06,5.88
2019-07-12,5.83,5.89,5.8,122118.42,0.02,0.34,5.884,5.998,6.08,135921.54,125362.32,129000.93,5.85
2019-07-11,5.86,5.89,5.8,134350.97,0.0,0.0,5.94,6.015,6.096,126051.02,123070.37,131103.02,5.83
2019-07-10,5.89,5.92,5.8,125871.37,-0.07,-1.19,5.996,6.053,6.114,123455.72,121984.0,132636.75,5.83
2019-07-09,6.0,6.03,5.84,158288.05,-0.11,-1.83,6.046,6.087,6.134,120263.27,116840.11,133430.5,5.9
2019-07-08,6.14,6.15,5.99,138978.88,-0.12,-1.96,6.086,6.114,6.153,110718.67,116600.15,138127.25,6.01
