date,open,high,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,close
2019-08-08,28.78,29.13,28.38,454651.91,0.17,0.59,28.932,29.832,28.776,657645.71,662289.69,719761.42,28.9
2019-08-07,28.99,29.19,28.66,430774.56,0.03,0.1,29.294,29.967,28.681,669066.04,755055.35,719032.54,28.73
2019-08-06,28.05,29.09,27.62,818050.75,-0.01,-0.04,29.722,29.983,28.591,710107.37,794480.97,720646.96,28.7
2019-08-05,29.41,29.73,28.64,722341.94,-0.91,-3.07,30.066,30.019,28.489,667685.17,818142.5,716470.18,28.71
2019-08-02,29.4,29.91,29.05,862409.38,-1.09,-3.55,30.496,30.003,28.418,638102.68,929937.97,717277.01,29.62
2019-08-01,30.51,31.0,30.17,511753.59,-0.16,-0.52,30.732,29.689,28.344,666933.67,878933.8,696389.21,30.71
2019-07-31,30.4,31.04,29.97,635981.19,0.45,1.48,30.64,29.235,28.213,841044.65,887983.51,699869.76,30.87
2019-07-30,31.05,31.56,30.38,605939.75,-0.44,-1.43,30.244,28.838,28.088,878854.56,865490.0,707909.2,30.42
2019-07-29,30.8,31.1,30.38,574429.5,0.06,0.2,29.972,28.473,28.033,968599.84,838217.11,717178.41,30.86
2019-07-26,30.17,31.54,29.88,1006564.31,0.55,1.82,29.51,28.102,27.982,1221773.26,842221.65,751071.5,30.8
2019-07-25,28.85,30.67,28.8,1382308.5,1.36,4.71,28.646,27.719,27.821,1090933.94,777233.15,731784.48,30.25
2019-07-24,28.9,29.26,28.65,825030.75,-0.17,-0.58,27.83,27.395,27.687,934922.36,683009.73,714358.29,28.89
2019-07-23,28.58,29.13,28.41,1054666.12,0.51,1.79,27.432,27.198,27.564,852125.44,646812.95,696815.61,29.06
2019-07-22,27.6,28.88,27.2,1840296.62,2.07,7.82,26.974,26.959,27.421,707834.38,614797.85,686127.72,28.55
2019-07-19,26.21,26.8,26.21,352367.69,0.31,1.19,26.694,26.832,27.336,462670.04,504616.05,627817.05,26.48
2019-07-18,26.6,26.61,26.11,602250.62,-0.73,-2.71,26.792,26.999,27.382,463532.36,513844.61,658265.34,26.17
2019-07-17,26.6,27.17,26.3,411046.16,0.13,0.49,26.96,27.191,27.43,431097.1,511756.01,680519.82,26.9
2019-07-16,27.01,27.1,26.75,333210.81,-0.38,-1.4,26.964,27.338,27.403,441500.45,550328.39,734706.08,26.77
2019-07-15,26.8,27.26,26.04,614474.94,0.18,0.67,26.944,27.592,27.313,521761.33,596139.71,740196.53,27.15
2019-07-12,27.01,27.21,26.68,356679.28,-0.04,-0.15,26.97,27.861,27.189,546562.06,659921.35,743308.57,26.97
2019-07-11,27.25,27.5,26.92,440074.31,0.09,0.33,27.206,27.922,27.11,564156.86,686335.82,758301.9,27.01
2019-07-10,26.99,27.3,26.74,463062.91,0.25,0.94,27.422,27.979,27.044,592414.92,745706.84,764097.33,26.92
2019-07-09,27.1,27.37,26.5,734515.19,-0.61,-2.24,27.712,27.93,26.979,659156.33,746818.27,772599.38,26.67
2019-07-08,27.87,27.9,26.9,738478.62,-0.87,-3.09,28.24,27.883,26.948,670518.09,757457.6,791277.54,27.28
2019-07-05,27.99,28.42,27.9,444653.28,0.06,0.21,28.752,27.839,26.832,773280.64,751018.04,805990.18,28.15
2019-07-04,28.37,28.75,27.9,581364.62,-0.28,-0.99,28.638,27.764,26.61,808514.78,802686.07,821081.9,28.09
2019-07-03,29.05,29.06,28.11,796769.94,-0.94,-3.21,28.536,27.669,26.426,898998.76,849283.63,823023.36,28.37
2019-07-02,29.6,29.77,29.09,791324.0,-0.53,-1.78,28.148,27.467,26.242,834480.2,919083.78,816597.23,29.31
2019-07-01,29.3,30.0,28.58,1252291.38,2.26,8.19,27.526,27.033,26.041,844397.1,884253.36,822942.12,29.84
2019-06-28,27.65,27.85,27.12,620823.94,0.0,0.0,26.926,26.516,25.791,728755.44,826695.79,795671.49,27.58
2019-06-27,26.75,27.65,26.65,1033784.56,1.15,4.35,26.89,26.298,25.672,796857.37,830267.99,800306.84,27.58
2019-06-26,25.98,26.64,25.84,474177.12,0.23,0.88,26.802,26.109,25.544,799568.5,782487.81,776667.89,26.43
2019-06-25,26.85,27.03,25.83,840908.5,-0.64,-2.38,26.786,26.028,25.491,1003687.35,798380.49,797950.68,26.2
2019-06-24,26.86,27.11,26.56,674083.06,-0.56,-2.04,26.54,26.013,25.439,924109.62,825097.48,808593.1,26.84
