date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-07-16,7.36,7.51,7.48,7.34,321698.25,0.1,1.35,7.328,7.328,7.188,256905.72,346786.54,337563.4
2019-07-15,7.36,7.47,7.38,7.2,267536.72,0.03,0.41,7.274,7.299,7.16,230750.21,347121.16,332212.38
2019-07-12,7.26,7.45,7.35,7.23,346532.72,0.12,1.66,7.25,7.275,7.139,260116.7,378632.04,328376.56
2019-07-11,7.26,7.38,7.23,7.21,189697.88,0.03,0.42,7.258,7.235,7.122,252088.53,358305.93,321024.5
2019-07-10,7.25,7.27,7.2,7.17,159063.02,-0.01,-0.14,7.31,7.211,7.113,349045.17,358610.14,319868.31
2019-07-09,7.22,7.32,7.21,7.2,190920.72,-0.05,-0.69,7.328,7.183,7.108,436667.36,365143.08,322597.33
2019-07-08,7.35,7.35,7.26,7.1,414369.16,-0.13,-1.76,7.324,7.157,7.104,463492.1,384605.07,331856.71
2019-07-05,7.47,7.47,7.39,7.33,306391.88,-0.1,-1.33,7.3,7.139,7.087,497147.37,376650.5,323591.24
2019-07-04,7.27,7.54,7.49,7.27,674481.06,0.2,2.74,7.212,7.117,7.058,464523.32,378375.85,318819.65
2019-07-03,7.16,7.44,7.29,7.13,597174.0,0.1,1.39,7.112,7.079,7.031,368175.11,355091.38,302055.44
2019-07-02,7.14,7.2,7.19,7.07,325044.41,0.05,0.7,7.038,7.048,7.007,293618.79,328340.27,280046.28
2019-07-01,7.06,7.2,7.14,7.0,582645.5,0.19,2.73,6.99,7.021,6.988,305718.03,317303.61,278248.82
2019-06-28,6.97,6.99,6.95,6.91,143271.62,-0.04,-0.57,6.978,7.003,6.972,256153.64,278121.09,259265.47
2019-06-27,6.95,7.02,6.99,6.93,192740.0,0.07,1.01,7.022,7.009,6.965,292228.37,283743.07,265157.07
2019-06-26,6.94,6.98,6.92,6.91,224392.41,-0.03,-0.43,7.046,7.015,6.963,342007.66,281126.47,270403.83
2019-06-25,7.09,7.1,6.95,6.89,385540.62,-0.13,-1.84,7.058,7.032,6.968,363061.74,280051.58,275993.68
2019-06-24,7.16,7.17,7.08,7.02,334823.53,-0.09,-1.25,7.052,7.051,6.965,328889.19,279108.36,267969.42
2019-06-21,7.1,7.19,7.17,7.08,323645.31,0.06,0.84,7.028,7.035,6.952,300088.55,270531.98,260337.76
2019-06-20,6.98,7.18,7.11,6.95,441636.41,0.13,1.86,6.996,6.998,6.937,275257.76,259263.46,260912.31
2019-06-19,7.05,7.07,6.98,6.94,329662.84,0.06,0.87,6.984,6.982,6.927,220245.29,249019.5,249308.88
2019-06-18,6.96,6.98,6.92,6.87,214677.88,-0.04,-0.57,7.006,6.965,6.928,197041.41,231752.29,253523.85
2019-06-17,6.99,7.04,6.96,6.93,190820.31,-0.05,-0.71,7.05,6.955,6.939,229327.52,239194.04,263963.35
2019-06-14,7.1,7.13,7.01,6.97,199491.34,-0.04,-0.57,7.042,6.941,6.951,240975.42,240409.86,277770.85
2019-06-13,7.09,7.1,7.05,6.99,166574.09,-0.04,-0.56,7.0,6.921,6.975,243269.15,246571.08,286408.31
2019-06-12,7.14,7.14,7.09,7.05,213643.45,-0.05,-0.7,6.98,6.91,6.996,277793.7,259681.19,303162.82
2019-06-11,6.95,7.15,7.14,6.93,376108.41,0.22,3.18,6.924,6.903,7.009,266463.17,271935.78,309639.25
2019-06-10,6.84,6.97,6.92,6.81,249059.8,0.12,1.76,6.86,6.879,7.019,249060.55,256830.48,306671.37
2019-06-06,6.94,6.94,6.8,6.79,210960.02,-0.15,-2.16,6.84,6.869,7.046,239844.29,250143.54,319674.52
2019-06-05,6.87,7.03,6.95,6.81,339196.84,0.14,2.06,6.842,6.875,7.068,249873.01,262561.16,332347.72
2019-06-04,6.84,6.84,6.81,6.76,156990.78,-0.01,-0.15,6.84,6.872,7.093,241568.68,249598.27,338681.53
2019-06-03,6.82,6.87,6.82,6.76,289095.31,0.0,0.0,6.882,6.89,7.131,277408.38,275295.42,352808.83
2019-05-31,6.83,6.9,6.82,6.8,202978.52,0.01,0.15,6.898,6.923,7.162,264600.4,288732.66,370948.71
2019-05-30,6.91,6.94,6.81,6.79,261103.59,-0.13,-1.87,6.898,6.96,7.218,260442.79,315131.84,383445.2
2019-05-29,6.95,7.05,6.94,6.93,297675.19,-0.08,-1.14,6.908,7.028,7.27,275249.31,326245.54,395672.86
2019-05-28,6.93,7.04,7.02,6.91,336189.31,0.12,1.74,6.904,7.081,7.314,257627.86,346644.45,410069.8
2019-05-27,6.84,6.93,6.9,6.76,225055.41,0.08,1.17,6.898,7.114,7.359,273182.45,347342.73,418408.43
2019-05-24,6.85,6.92,6.82,6.81,182190.44,-0.04,-0.58,6.948,7.159,7.422,312864.92,356512.26,437852.2
2019-05-23,6.88,6.91,6.86,6.78,335136.19,-0.06,-0.87,7.022,7.222,7.48,369820.89,389205.51,464846.28
2019-05-22,7.01,7.03,6.92,6.89,209567.95,-0.07,-1.0,7.148,7.261,7.532,377241.78,402134.29,518703.35
2019-05-21,6.87,7.1,6.99,6.85,413962.25,0.14,2.04,7.258,7.314,7.609,435661.04,427764.8,533685.37
2019-05-20,7.16,7.21,7.15,6.97,423467.75,-0.04,-0.56,7.33,7.372,7.682,421503.01,430322.25,538290.49
2019-05-17,7.47,7.47,7.19,7.17,466970.31,-0.3,-4.0,7.37,7.4,7.756,400159.61,453164.77,547202.2
2019-05-16,7.45,7.49,7.49,7.39,372240.62,0.02,0.27,7.422,7.476,7.838,408590.12,451758.56,558819.6
2019-05-15,7.41,7.5,7.47,7.35,501664.28,0.12,1.63,7.374,7.511,7.889,427026.8,465100.19,586591.81
