date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-07-16,12.24,12.32,12.26,12.2,31913.64,-0.06,-0.49,12.312,12.22,12.362,55428.4,42009.94,40941.01
2019-07-15,12.36,12.4,12.32,12.01,51688.22,-0.05,-0.4,12.238,12.238,12.375,53146.7,42842.88,40551.53
2019-07-12,12.62,12.62,12.37,12.3,52840.48,0.0,0.0,12.162,12.257,12.392,49876.7,42611.89,39218.09
2019-07-11,12.38,12.76,12.37,12.31,92819.25,0.13,1.06,12.136,12.256,12.408,44166.88,40152.8,38274.24
2019-07-10,11.93,12.33,12.24,11.9,47880.39,0.35,2.94,12.114,12.258,12.423,30947.19,34982.14,34660.2
2019-07-09,11.99,11.99,11.89,11.81,20505.15,-0.05,-0.42,12.128,12.26,12.449,28591.48,33223.21,33723.76
2019-07-08,12.22,12.26,11.94,11.89,35338.22,-0.3,-2.45,12.238,12.315,12.492,32539.06,35538.77,34988.63
2019-07-05,12.26,12.29,12.24,12.19,24291.4,-0.02,-0.16,12.352,12.381,12.519,35347.08,35281.05,35076.51
2019-07-04,12.32,12.36,12.26,12.22,26720.77,-0.05,-0.41,12.376,12.426,12.532,36138.72,38334.93,38765.76
2019-07-03,12.42,12.44,12.31,12.25,36101.88,-0.13,-1.04,12.402,12.47,12.557,39017.1,40159.84,39401.48
2019-07-02,12.52,12.53,12.44,12.41,40243.04,-0.07,-0.56,12.392,12.503,12.581,37854.94,39872.07,39558.51
2019-07-01,12.43,12.52,12.51,12.35,49378.31,0.15,1.21,12.392,12.512,12.607,38538.47,38260.18,39637.82
2019-06-28,12.4,12.43,12.36,12.27,28249.59,-0.03,-0.24,12.41,12.526,12.634,35215.01,35824.29,39367.51
2019-06-27,12.33,12.43,12.39,12.28,41112.68,0.13,1.06,12.476,12.56,12.664,40531.13,36395.68,39981.27
2019-06-26,12.37,12.37,12.26,12.2,30291.08,-0.08,-0.65,12.538,12.588,12.702,41302.58,34338.26,39617.91
2019-06-25,12.6,12.62,12.44,12.31,43660.71,-0.16,-1.27,12.614,12.638,12.758,41889.2,34224.3,40895.68
2019-06-24,12.69,12.72,12.6,12.56,32761.0,-0.09,-0.71,12.632,12.669,12.799,37981.89,34438.5,40411.66
2019-06-21,12.7,12.79,12.69,12.62,54830.2,-0.01,-0.08,12.642,12.656,12.826,36433.57,34871.98,40777.35
2019-06-20,12.68,12.81,12.7,12.56,44969.93,0.06,0.47,12.644,12.637,12.853,32260.22,39196.6,41235.7
2019-06-19,12.7,12.83,12.64,12.61,33224.16,0.11,0.88,12.638,12.644,12.887,27373.93,38643.11,41623.57
2019-06-18,12.72,12.72,12.53,12.45,24124.15,-0.12,-0.95,12.662,12.659,12.937,26559.4,39244.96,42601.35
2019-06-17,12.7,12.83,12.65,12.61,25019.39,-0.05,-0.39,12.706,12.702,12.986,30895.11,41015.46,46259.41
2019-06-14,12.78,12.84,12.7,12.68,33963.46,0.03,0.24,12.67,12.742,13.076,33310.4,42910.74,48084.56
2019-06-13,12.72,12.76,12.67,12.61,20538.49,-0.09,-0.7,12.63,12.768,13.172,46132.99,43566.86,49134.16
2019-06-12,12.74,12.86,12.76,12.65,29151.52,0.01,0.08,12.65,12.816,13.269,49912.29,44897.56,50792.7
2019-06-11,12.48,12.85,12.75,12.37,45802.69,0.28,2.25,12.656,12.878,13.361,51930.51,47567.07,52195.8
2019-06-10,12.32,12.58,12.47,12.25,37095.83,-0.03,-0.24,12.698,12.929,13.467,51135.81,46384.81,52499.99
2019-06-06,12.76,12.76,12.5,11.62,98076.41,-0.27,-2.11,12.814,12.995,13.591,52511.07,46682.71,53764.34
2019-06-05,12.87,12.94,12.77,12.76,39435.02,-0.02,-0.16,12.906,13.069,13.704,41000.72,43274.8,51650.87
2019-06-04,12.9,12.9,12.79,12.73,39242.6,-0.17,-1.31,12.982,13.129,13.824,39882.82,44604.02,53273.39
2019-06-03,13.04,13.08,12.96,12.77,41829.18,-0.09,-0.69,13.1,13.215,13.935,43203.62,45957.75,54651.72
2019-05-31,13.0,13.11,13.05,12.77,43972.16,0.09,0.69,13.16,13.27,14.031,41633.82,51503.36,58352.1
2019-05-30,13.13,13.13,12.96,12.95,40524.66,-0.19,-1.45,13.176,13.409,14.164,40854.35,53258.38,63335.11
2019-05-29,13.24,13.29,13.15,13.12,33845.52,-0.23,-1.72,13.232,13.576,14.305,45548.87,54701.47,70651.24
2019-05-28,13.24,13.38,13.38,13.11,55846.58,0.12,0.91,13.276,13.722,14.43,49325.21,56687.84,83687.16
2019-05-27,13.2,13.32,13.26,13.07,33980.17,0.13,0.99,13.33,13.844,14.503,48711.87,56824.54,94470.95
2019-05-24,13.39,13.59,13.13,13.06,40074.84,-0.11,-0.83,13.38,14.004,14.58,61372.9,58615.16,99403.12
2019-05-23,13.35,13.39,13.24,12.94,63997.22,-0.13,-0.97,13.642,14.187,14.678,65662.4,60845.97,100958.51
2019-05-22,13.63,13.64,13.37,13.31,52727.25,-0.28,-2.05,13.92,14.338,14.778,63854.07,60026.94,103233.55
2019-05-21,13.74,13.78,13.65,13.49,52779.88,0.14,1.04,14.168,14.518,14.869,64050.47,61942.76,105490.36
2019-05-20,14.2,14.2,13.51,13.35,97285.29,-0.93,-6.44,14.358,14.654,14.959,64937.2,63345.69,105314.87
2019-05-17,14.6,14.62,14.44,14.28,61522.36,-0.19,-1.3,14.628,14.792,15.063,55857.43,65200.84,103164.53
2019-05-16,14.61,14.65,14.63,14.41,54955.55,0.02,0.14,14.732,14.918,15.129,56029.54,73411.84,103513.82
2019-05-15,14.66,14.68,14.61,14.5,53709.27,0.01,0.07,14.756,15.034,15.175,56199.81,86601.01,103445.2
2019-05-14,14.72,14.85,14.6,14.55,57213.52,-0.26,-1.75,14.868,15.137,15.223,59835.04,110686.47,104602.55
2019-05-13,14.96,14.96,14.86,14.65,51886.43,-0.1,-0.67,14.95,15.161,15.274,61754.17,132117.36,106376.91
2019-05-10,14.9,15.03,14.96,14.51,62382.93,0.21,1.42,14.956,15.155,15.33,74544.26,140191.07,107867.14
2019-05-09,15.01,15.1,14.75,14.73,55806.91,-0.42,-2.77,15.104,15.168,15.374,90794.15,141071.05,106762.0
2019-05-08,14.87,15.3,15.17,14.69,71885.41,0.16,1.07,15.312,15.217,15.423,117002.21,146440.16,107025.64
2019-05-07,14.85,15.12,15.01,14.75,66809.19,0.12,0.81,15.406,15.219,15.46,161537.91,149037.97,105713.9
2019-05-06,15.07,15.37,14.89,14.81,115836.87,-0.81,-5.16,15.372,15.263,15.502,202480.55,147284.05,105025.03
2019-04-30,15.61,15.9,15.7,15.35,143632.36,-0.09,-0.57,15.354,15.334,15.55,205837.88,141128.22,102018.05
2019-04-29,15.66,16.06,15.79,15.41,186847.23,0.15,0.96,15.232,15.339,15.562,191347.95,133615.79,98121.72
2019-04-26,14.99,15.64,15.64,14.98,294563.88,0.8,5.39,15.122,15.316,15.556,175878.11,120289.39,90862.94
2019-04-25,14.8,14.89,14.84,14.64,271522.41,0.04,0.27,15.032,15.308,15.548,136538.04,98518.63,77447.49
2019-04-24,15.06,15.09,14.8,14.7,132623.52,-0.29,-1.92,15.154,15.387,15.579,92087.55,80636.46,65528.6
2019-04-23,15.24,15.25,15.09,14.98,71182.71,-0.15,-0.98,15.314,15.504,15.618,76418.56,75543.2,61289.22
2019-04-22,15.2,15.27,15.24,14.95,109498.02,0.05,0.33,15.446,15.579,15.658,75883.62,72452.96,60469.66
2019-04-19,15.46,15.46,15.19,15.07,97863.52,-0.26,-1.68,15.51,15.629,15.713,64700.67,67611.12,60636.78
2019-04-18,15.62,15.62,15.45,15.38,49270.0,-0.15,-0.96,15.584,15.7,15.757,60499.22,62389.83,57998.62
2019-04-17,15.77,15.85,15.6,15.54,54278.56,-0.15,-0.95,15.62,15.741,15.788,69185.36,62766.01,57293.43
2019-04-16,15.55,15.79,15.75,15.33,68508.02,0.19,1.22,15.694,15.765,15.819,74667.84,62907.88,57033.63
