date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-07-16,5.8,5.81,5.8,5.78,397880.12,0.0,0.0,5.778,5.936,6.059,481242.98,679807.88,902123.64
2019-07-15,5.79,5.82,5.8,5.71,675933.0,0.0,0.0,5.772,5.972,6.078,593358.23,744834.33,910681.1
2019-07-12,5.76,5.82,5.8,5.75,443155.91,0.05,0.87,5.836,6.008,6.097,672017.83,772256.62,904375.52
2019-07-11,5.76,5.79,5.75,5.74,380226.38,0.01,0.17,5.912,6.04,6.115,733495.62,797391.02,915523.82
2019-07-10,5.77,5.78,5.74,5.73,509019.47,-0.03,-0.52,6.004,6.078,6.136,821187.22,875015.04,926184.74
2019-07-09,5.84,5.84,5.77,5.76,958456.38,-0.05,-0.86,6.094,6.112,6.157,878372.79,920411.5,937948.87
2019-07-08,6.18,6.18,6.12,6.1,1069231.0,-0.06,-0.97,6.172,6.145,6.176,896310.44,1056116.49,945782.9
2019-07-05,6.22,6.22,6.18,6.17,750544.88,-0.03,-0.48,6.18,6.162,6.176,872495.41,1008708.78,933656.62
2019-07-04,6.19,6.24,6.21,6.18,818684.38,0.02,0.32,6.168,6.17,6.17,861286.41,1028601.47,932935.37
2019-07-03,6.16,6.2,6.19,6.14,794947.31,0.03,0.49,6.152,6.177,6.163,928842.86,1093774.54,932836.22
2019-07-02,6.17,6.17,6.16,6.14,1048144.62,0.0,0.0,6.13,6.181,6.155,962450.21,1124439.4,938584.51
2019-07-01,6.17,6.19,6.16,6.14,950155.88,0.04,0.65,6.118,6.183,6.147,1215922.54,1076527.86,924557.2
2019-06-28,6.12,6.13,6.12,6.08,694499.88,-0.01,-0.16,6.144,6.185,6.137,1144922.15,1036494.41,917148.78
2019-06-27,6.1,6.16,6.13,6.09,1156466.62,0.05,0.82,6.172,6.19,6.13,1195916.52,1033656.61,931451.59
2019-06-26,6.09,6.12,6.08,6.07,962984.06,-0.02,-0.33,6.202,6.193,6.122,1258706.22,977354.45,904895.47
2019-06-25,6.29,6.29,6.1,6.07,2315506.25,-0.19,-3.02,6.232,6.202,6.118,1286428.59,955486.24,923367.51
2019-06-24,6.27,6.31,6.29,6.26,595153.94,0.03,0.48,6.248,6.207,6.112,937133.19,835449.31,850783.61
2019-06-21,6.28,6.31,6.26,6.25,949471.75,-0.02,-0.32,6.226,6.189,6.097,928066.68,858604.46,854232.48
2019-06-20,6.24,6.33,6.28,6.22,1470415.12,0.05,0.8,6.208,6.17,6.082,871396.7,837269.27,844048.37
2019-06-19,6.24,6.25,6.23,6.21,1101595.88,0.05,0.81,6.184,6.149,6.068,696002.67,771897.9,807405.99
2019-06-18,6.18,6.19,6.18,6.15,569029.25,0.0,0.0,6.172,6.129,6.056,624543.89,752729.62,792518.97
2019-06-17,6.17,6.21,6.18,6.16,549821.38,0.01,0.16,6.166,6.11,6.045,733765.44,772586.53,807695.3
2019-06-14,6.18,6.19,6.17,6.15,666121.88,0.01,0.16,6.152,6.088,6.034,789142.24,797803.15,822071.2
2019-06-13,6.16,6.18,6.16,6.12,593444.94,-0.01,-0.16,6.132,6.069,6.026,803141.84,829246.56,825896.19
2019-06-12,6.14,6.18,6.17,6.12,744302.0,0.02,0.33,6.114,6.05,6.018,847793.14,832436.5,834209.73
2019-06-11,6.11,6.16,6.15,6.1,1115137.0,0.04,0.66,6.086,6.033,6.008,880915.35,891248.78,837064.95
2019-06-10,6.09,6.13,6.11,6.08,826705.38,0.04,0.66,6.054,6.017,6.0,811407.61,866117.91,814222.72
2019-06-06,6.08,6.11,6.07,6.06,736119.88,0.0,0.0,6.024,6.005,5.997,806464.06,849860.49,825335.01
2019-06-05,6.04,6.1,6.07,6.04,816701.44,0.04,0.66,6.006,5.994,5.993,855351.29,850827.47,837328.69
2019-06-04,6.0,6.03,6.03,5.99,909913.06,0.04,0.67,5.986,5.986,5.992,817079.86,842914.09,841217.05
2019-06-03,5.97,6.01,5.99,5.96,767598.31,0.03,0.5,5.98,5.982,5.997,901582.2,832308.32,850379.07
2019-05-31,5.97,6.0,5.96,5.94,801987.62,-0.02,-0.33,5.98,5.98,6.007,920828.2,842804.08,936882.87
2019-05-30,5.98,5.99,5.98,5.94,980556.0,0.01,0.17,5.986,5.98,6.022,893256.92,846339.25,941738.71
2019-05-29,5.98,6.0,5.97,5.96,625344.31,-0.03,-0.5,5.982,5.982,6.035,846303.65,822545.82,947279.69
2019-05-28,5.99,6.04,6.0,5.97,1332424.75,0.01,0.17,5.986,5.985,6.045,868748.31,835982.96,969777.33
2019-05-27,5.98,6.0,5.99,5.94,863828.31,0.0,0.0,5.984,5.982,6.057,763034.44,782881.12,952554.19
2019-05-24,5.97,6.0,5.99,5.97,664131.25,0.03,0.5,5.98,5.982,6.07,764779.96,762327.54,961212.31
2019-05-23,5.99,5.99,5.96,5.94,745789.62,-0.03,-0.5,5.974,5.988,6.084,799421.57,800809.52,971612.17
2019-05-22,5.99,6.01,5.99,5.96,737567.62,0.0,0.0,5.982,5.992,6.099,798788.0,823829.92,1011038.57
2019-05-21,5.97,6.03,5.99,5.97,803855.38,0.02,0.34,5.984,5.998,6.121,803217.6,839520.02,1019262.1
2019-05-20,5.96,6.02,5.97,5.94,872555.94,0.01,0.17,5.98,6.011,6.141,802727.8,868449.83,1035193.94
2019-05-17,6.0,6.01,5.96,5.94,837339.31,-0.04,-0.67,5.984,6.033,6.166,759875.12,1030961.66,1064963.13
2019-05-16,5.99,6.01,6.0,5.97,742621.75,0.0,0.0,6.002,6.063,6.193,802197.46,1037138.16,1185333.76
2019-05-15,5.99,6.03,6.0,5.97,759715.62,0.03,0.5,6.002,6.087,6.207,848871.84,1072013.55,1243235.29
2019-05-14,5.97,6.04,5.97,5.96,801406.38,-0.02,-0.33,6.012,6.105,6.222,875822.44,1103571.7,1246930.76
2019-05-13,6.01,6.04,5.99,5.98,658292.56,-0.06,-0.99,6.042,6.131,6.238,934171.86,1122227.26,1279351.96
2019-05-10,6.05,6.08,6.05,5.97,1048951.0,0.05,0.83,6.082,6.157,6.253,1302048.2,1160097.08,1324232.5
2019-05-09,6.05,6.09,6.0,5.99,975993.62,-0.05,-0.83,6.124,6.179,6.268,1272078.86,1142414.82,1340271.68
2019-05-08,6.1,6.13,6.05,6.04,894468.62,-0.07,-1.14,6.172,6.206,6.286,1295155.26,1198247.23,1452018.75
2019-05-07,6.16,6.18,6.12,6.1,1093153.5,-0.07,-1.13,6.198,6.243,6.3,1331320.96,1199004.18,1574112.1
2019-05-06,6.17,6.35,6.19,6.02,2497674.25,-0.07,-1.12,6.22,6.27,6.309,1310282.66,1201938.06,1751471.95
2019-04-30,6.24,6.27,6.26,6.21,899104.31,0.02,0.32,6.232,6.298,6.314,1018145.96,1098964.59,1695474.98
2019-04-29,6.21,6.28,6.24,6.19,1091375.62,0.06,0.97,6.234,6.322,6.317,1012750.77,1333529.36,1755262.62
2019-04-26,6.22,6.25,6.18,6.17,1075297.12,-0.05,-0.8,6.24,6.327,6.317,1101339.2,1414457.02,1769631.9
2019-04-25,6.24,6.26,6.23,6.21,987962.0,-0.02,-0.32,6.288,6.338,6.313,1066687.4,1390289.81,1765181.43
2019-04-24,6.3,6.31,6.25,6.2,1036990.75,-0.02,-0.32,6.32,6.344,6.311,1093593.45,1436476.66,1755687.72
2019-04-23,6.27,6.3,6.27,6.26,872128.38,0.0,0.0,6.364,6.349,6.308,1179783.22,1488367.93,1740644.33
2019-04-22,6.42,6.43,6.27,6.26,1534317.75,-0.15,-2.34,6.41,6.356,6.304,1654307.95,1538128.54,1768345.89
2019-04-19,6.4,6.47,6.42,6.39,902038.12,0.03,0.47,6.414,6.366,6.31,1727574.85,1705790.26,1733341.38
2019-04-18,6.46,6.47,6.39,6.38,1122492.25,-0.08,-1.24,6.388,6.357,6.309,1713892.22,1949220.03,1747849.16
2019-04-17,6.47,6.53,6.47,6.44,1467939.62,-0.03,-0.46,6.368,6.348,6.314,1779359.87,2301005.85,1745665.74
2019-04-16,6.28,6.51,6.5,6.26,3244752.0,0.21,3.34,6.334,6.329,6.312,1796952.63,2291985.38,1715152.13
