date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-07-16,88.12,88.12,86.2,86.05,64104.23,-1.62,-1.84,87.158,86.379,86.441,81879.21,108662.12,95537.88
2019-07-15,88.4,88.41,87.82,86.6,58777.09,0.11,0.12,86.922,86.877,86.133,79043.47,111365.44,95101.92
2019-07-12,86.0,88.86,87.71,86.0,76338.25,1.59,1.85,86.358,87.115,85.807,85943.2,114524.79,96045.77
2019-07-11,88.59,89.6,86.12,85.33,110088.46,-1.82,-2.07,86.116,87.209,85.394,100966.41,113087.33,96424.86
2019-07-10,85.88,88.77,87.94,85.1,100088.02,2.92,3.43,85.552,87.255,85.013,136497.48,110612.67,93221.33
2019-07-09,85.62,85.79,85.02,84.57,49925.51,0.02,0.02,85.6,86.961,84.569,135445.03,105945.09,91216.46
2019-07-08,86.89,86.9,85.0,83.98,93275.76,-1.5,-1.73,86.832,86.911,84.253,143687.42,108092.12,94085.3
2019-07-05,83.5,87.33,86.5,83.26,151454.28,3.2,3.84,87.872,86.962,83.8,143106.38,105695.45,92481.14
2019-07-04,86.3,86.33,83.3,81.65,287743.84,-4.88,-5.53,88.302,86.816,83.171,125208.25,99697.53,88643.31
2019-07-03,91.0,91.69,88.18,87.5,94825.75,-3.0,-3.29,88.958,87.054,82.734,84727.85,83489.5,77225.33
2019-07-02,90.2,91.6,91.18,88.58,91137.47,0.98,1.09,88.322,86.503,82.11,76445.14,82413.63,75465.54
2019-07-01,89.6,91.28,90.2,89.41,90370.56,1.55,1.75,86.99,85.388,81.382,72496.82,78838.41,74295.19
2019-06-28,86.58,88.69,88.65,85.81,61963.63,2.07,2.39,86.052,84.498,80.741,68284.51,77566.75,73695.79
2019-06-27,85.41,87.23,86.58,84.6,85341.83,1.58,1.86,85.33,83.579,80.1,74186.81,79762.39,74144.7
2019-06-26,84.37,85.4,85.0,84.07,53412.23,0.48,0.57,85.15,82.771,79.606,82251.15,75830.0,73368.78
2019-06-25,85.62,85.99,84.52,83.6,71395.84,-0.99,-1.16,84.684,82.176,79.256,88382.12,76487.83,75535.07
2019-06-24,84.87,86.49,85.51,83.78,69309.04,1.02,1.21,83.786,81.594,78.819,85179.99,80078.47,75525.87
2019-06-21,85.6,87.2,85.04,84.3,91475.1,-0.64,-0.75,82.944,80.637,78.309,86848.98,79266.84,74441.84
2019-06-20,82.68,87.89,85.68,82.03,125663.52,3.01,3.64,81.828,79.526,77.823,85337.98,77589.08,73385.06
2019-06-19,81.48,82.98,82.67,80.88,84067.12,2.64,3.3,80.392,78.413,77.388,69408.85,70961.15,70899.41
2019-06-18,81.4,81.58,80.03,79.79,55385.18,-1.27,-1.56,79.668,77.716,77.07,64593.54,68517.44,70664.01
2019-06-17,79.92,82.06,81.3,79.52,77653.97,1.84,2.32,79.402,77.375,76.869,74976.95,69751.97,72015.87
2019-06-14,78.99,81.6,79.46,78.88,83920.11,0.96,1.22,78.33,76.984,76.664,71684.7,69824.83,72196.91
2019-06-13,79.15,79.2,78.5,77.77,46017.88,-0.55,-0.7,77.224,76.62,76.641,69840.18,68527.0,72568.22
2019-06-12,78.65,79.16,79.05,78.05,59990.56,0.35,0.45,76.434,76.44,76.606,72513.45,70907.56,74263.87
2019-06-11,76.32,78.98,78.7,76.32,107302.25,2.76,3.63,75.764,76.335,76.411,72441.33,74582.3,76196.98
2019-06-10,74.56,76.5,75.94,74.02,61192.69,2.01,2.72,75.348,76.044,76.327,64526.99,70973.27,74058.53
2019-06-06,75.07,75.49,73.93,73.44,74697.53,-0.62,-0.83,75.638,75.98,76.387,67964.97,69616.84,77292.99
2019-06-05,76.29,76.5,74.55,74.41,59384.24,-1.15,-1.52,76.016,76.12,76.373,67213.82,69181.03,79917.89
2019-06-04,76.51,77.0,75.7,75.1,59629.95,-0.92,-1.2,76.446,76.362,76.316,69301.66,70837.68,80997.52
2019-06-03,77.38,78.43,76.62,75.89,67730.53,-0.77,-0.99,76.906,76.424,76.351,76723.27,72810.58,86877.37
2019-05-31,76.2,78.1,77.39,75.52,78382.58,1.57,2.07,76.74,76.363,76.321,77419.55,74279.78,91110.9
2019-05-30,76.65,77.09,75.82,75.3,70941.8,-0.88,-1.15,76.322,76.343,76.326,71268.71,74568.99,92238.06
2019-05-29,77.0,77.46,76.7,76.15,69823.46,-1.3,-1.67,76.224,76.661,76.534,71148.24,76609.44,95898.94
2019-05-28,75.9,78.39,78.0,75.6,96738.0,2.21,2.92,76.278,76.771,76.564,72373.69,77620.17,98406.37
2019-05-27,75.15,76.23,75.79,73.37,71211.89,0.49,0.65,75.942,76.486,76.63,68897.88,77811.66,97595.23
2019-05-24,75.6,76.83,75.3,75.0,47628.4,-0.03,-0.04,75.986,76.609,76.782,71140.01,77143.8,98158.71
2019-05-23,76.5,76.89,75.33,74.65,70339.45,-1.64,-2.13,76.364,76.794,76.887,77869.27,84969.15,101066.23
2019-05-22,76.69,78.0,76.97,75.8,75950.7,0.65,0.85,77.098,76.626,77.02,82070.64,90654.74,100740.35
2019-05-21,76.34,78.02,76.32,76.1,79358.97,0.31,0.41,77.264,76.27,77.104,82866.66,91157.35,100025.54
2019-05-20,76.45,76.99,76.01,74.5,82422.53,-1.18,-1.53,77.03,76.278,77.199,86725.43,100944.16,100056.04
2019-05-17,79.2,79.35,77.19,76.98,81274.7,-1.81,-2.29,77.232,76.278,77.208,83147.58,107942.02,100810.24
2019-05-16,77.98,79.04,79.0,77.25,91346.29,1.2,1.54,77.224,76.308,77.082,92069.03,109907.12,102670.36
2019-05-15,76.0,78.13,77.8,74.9,79930.79,2.65,3.53,76.154,76.406,76.777,99238.84,115188.45,104043.33
2019-05-14,75.8,77.0,75.15,74.8,98652.84,-1.87,-2.43,75.276,76.356,76.456,99448.05,119192.57,104575.17
2019-05-13,76.48,78.78,77.02,76.15,64533.29,-0.13,-0.17,75.526,76.773,76.311,115162.88,117378.81,105289.6
2019-05-10,74.05,78.08,77.15,74.0,125881.93,3.5,4.75,75.324,76.954,76.08,132736.46,119173.62,106363.15
