date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-07-16,5.35,5.38,5.35,5.33,144130.66,-0.02,-0.37,5.312,5.37,5.439,176487.91,239008.43,336040.88
2019-07-15,5.29,5.43,5.37,5.23,255212.34,0.07,1.32,5.304,5.392,5.435,190488.86,262332.16,334871.5
2019-07-12,5.28,5.32,5.3,5.24,137602.0,0.03,0.57,5.296,5.409,5.43,206127.52,277899.65,330746.55
2019-07-11,5.29,5.36,5.27,5.25,176926.98,0.0,0.0,5.338,5.421,5.429,222866.44,283721.74,339881.09
2019-07-10,5.31,5.34,5.27,5.24,168567.56,-0.04,-0.75,5.39,5.443,5.432,271710.86,295471.8,344534.42
2019-07-09,5.33,5.36,5.31,5.25,214135.41,-0.02,-0.38,5.428,5.46,5.434,301528.94,297116.31,350271.55
2019-07-08,5.48,5.48,5.33,5.31,333405.66,-0.18,-3.27,5.48,5.477,5.436,334175.46,316157.09,362229.44
2019-07-05,5.49,5.52,5.51,5.45,221296.59,-0.02,-0.36,5.522,5.501,5.427,349671.77,321152.13,361842.17
2019-07-04,5.47,5.62,5.53,5.47,421149.09,0.07,1.28,5.504,5.516,5.411,344577.04,372975.23,362166.75
2019-07-03,5.54,5.55,5.46,5.45,317657.97,-0.11,-1.98,5.496,5.521,5.4,319232.73,422245.27,352058.85
2019-07-02,5.54,5.62,5.57,5.51,377367.97,0.03,0.54,5.492,5.508,5.391,292703.67,433073.33,351832.66
2019-07-01,5.55,5.59,5.54,5.47,410887.25,0.12,2.21,5.474,5.477,5.383,298138.73,407410.85,346438.28
2019-06-28,5.49,5.49,5.42,5.38,195822.91,-0.07,-1.27,5.48,5.45,5.377,292632.48,383593.46,335465.34
2019-06-27,5.45,5.57,5.49,5.44,294427.56,0.05,0.92,5.528,5.437,5.378,401373.42,396040.44,338454.56
2019-06-26,5.42,5.48,5.44,5.4,185012.66,-0.04,-0.73,5.546,5.421,5.38,525257.81,393597.04,341374.79
2019-06-25,5.58,5.59,5.48,5.4,404543.25,-0.09,-1.62,5.524,5.407,5.386,573442.98,403426.8,357780.58
2019-06-24,5.64,5.65,5.57,5.54,383356.03,-0.09,-1.59,5.48,5.395,5.388,516682.97,408301.79,360261.93
2019-06-21,5.58,5.68,5.66,5.54,739527.62,0.08,1.43,5.42,5.352,5.378,474554.44,402532.22,352886.77
2019-06-20,5.34,5.77,5.58,5.3,913849.5,0.25,4.69,5.346,5.306,5.365,390707.45,351358.27,334005.68
2019-06-19,5.47,5.57,5.33,5.31,425938.5,0.07,1.33,5.296,5.278,5.355,261936.26,281872.43,302601.39
2019-06-18,5.27,5.29,5.26,5.22,120743.2,-0.01,-0.19,5.29,5.274,5.36,233410.62,270592.0,301252.87
2019-06-17,5.27,5.34,5.27,5.25,172713.38,-0.02,-0.38,5.31,5.288,5.362,299920.61,285465.72,315232.05
2019-06-14,5.35,5.37,5.29,5.27,320292.66,-0.04,-0.75,5.284,5.304,5.363,330509.99,287337.22,334954.85
2019-06-13,5.29,5.35,5.33,5.25,269993.56,0.03,0.57,5.266,5.319,5.372,312009.1,280868.69,337147.12
2019-06-12,5.36,5.37,5.3,5.28,283310.31,-0.06,-1.12,5.26,5.338,5.379,301808.59,289152.54,345430.88
2019-06-11,5.14,5.39,5.36,5.13,453293.12,0.22,4.28,5.258,5.364,5.384,307773.38,312134.35,352440.15
