date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-07-16,27.01,27.1,26.77,26.75,333210.81,-0.38,-1.4,26.964,27.338,27.403,441500.45,550328.39,734706.08
2019-07-15,26.8,27.26,27.15,26.04,614474.94,0.18,0.67,26.944,27.592,27.313,521761.33,596139.71,740196.53
2019-07-12,27.01,27.21,26.97,26.68,356679.28,-0.04,-0.15,26.97,27.861,27.189,546562.06,659921.35,743308.57
2019-07-11,27.25,27.5,27.01,26.92,440074.31,0.09,0.33,27.206,27.922,27.11,564156.86,686335.82,758301.9
2019-07-10,26.99,27.3,26.92,26.74,463062.91,0.25,0.94,27.422,27.979,27.044,592414.92,745706.84,764097.33
2019-07-09,27.1,27.37,26.67,26.5,734515.19,-0.61,-2.24,27.712,27.93,26.979,659156.33,746818.27,772599.38
2019-07-08,27.87,27.9,27.28,26.9,738478.62,-0.87,-3.09,28.24,27.883,26.948,670518.09,757457.6,791277.54
2019-07-05,27.99,28.42,28.15,27.9,444653.28,0.06,0.21,28.752,27.839,26.832,773280.64,751018.04,805990.18
2019-07-04,28.37,28.75,28.09,27.9,581364.62,-0.28,-0.99,28.638,27.764,26.61,808514.78,802686.07,821081.9
2019-07-03,29.05,29.06,28.37,28.11,796769.94,-0.94,-3.21,28.536,27.669,26.426,898998.76,849283.63,823023.36
2019-07-02,29.6,29.77,29.31,29.09,791324.0,-0.53,-1.78,28.148,27.467,26.242,834480.2,919083.78,816597.23
2019-07-01,29.3,30.0,29.84,28.58,1252291.38,2.26,8.19,27.526,27.033,26.041,844397.1,884253.36,822942.12
2019-06-28,27.65,27.85,27.58,27.12,620823.94,0.0,0.0,26.926,26.516,25.791,728755.44,826695.79,795671.49
2019-06-27,26.75,27.65,27.58,26.65,1033784.56,1.15,4.35,26.89,26.298,25.672,796857.37,830267.99,800306.84
2019-06-26,25.98,26.64,26.43,25.84,474177.12,0.23,0.88,26.802,26.109,25.544,799568.5,782487.81,776667.89
2019-06-25,26.85,27.03,26.2,25.83,840908.5,-0.64,-2.38,26.786,26.028,25.491,1003687.35,798380.49,797950.68
2019-06-24,26.86,27.11,26.84,26.56,674083.06,-0.56,-2.04,26.54,26.013,25.439,924109.62,825097.48,808593.1
2019-06-21,27.27,27.87,27.4,26.82,961333.62,0.26,0.96,26.106,25.825,25.33,924636.14,860962.32,829230.04
2019-06-20,26.65,27.39,27.14,26.19,1047340.19,0.79,3.0,25.706,25.455,25.188,863678.61,839477.73,860439.93
2019-06-19,27.25,27.4,26.35,26.13,1494771.38,1.38,5.53,25.416,25.183,25.135,765407.12,796763.09,887545.15
2019-06-18,24.67,25.18,24.97,24.67,443019.84,0.3,1.22,25.27,25.016,25.197,593073.63,714110.69,840981.53
2019-06-17,25.18,25.35,24.67,24.61,676715.69,-0.73,-2.87,25.486,25.049,25.298,726085.34,761630.87,856306.5
2019-06-14,25.55,25.99,25.4,25.14,656545.94,-0.29,-1.13,25.544,25.066,25.466,797288.5,764647.18,847471.77
2019-06-13,25.62,25.85,25.69,25.21,555982.75,0.07,0.27,25.204,25.045,25.627,815276.85,770345.7,835430.28
2019-06-12,25.98,25.98,25.62,25.45,633103.94,-0.43,-1.65,24.95,24.978,25.782,828119.05,770847.97,835086.95
2019-06-11,25.15,26.13,26.05,24.75,1108078.38,1.09,4.37,24.762,24.954,25.902,835147.74,797520.86,845814.05
2019-06-10,23.96,25.31,24.96,23.88,1032731.5,1.26,5.32,24.612,24.864,25.963,797176.4,792088.73,841890.75
2019-06-06,24.41,24.47,23.7,23.55,746487.69,-0.72,-2.95,24.588,24.835,26.205,732005.86,797497.75,817804.93
2019-06-05,24.98,25.0,24.42,24.12,620193.75,-0.26,-1.05,24.886,24.921,26.472,725414.54,881402.12,798184.96
