,0
0,-0.6350050373789544
1,-2.200496318450408
2,-2.046976983126133
3,-1.9968419863231557
4,-1.329334721531395
5,-0.4499249622405395
6,0.16705148416710502
7,-0.26767370713547595
8,-0.942420972692375
9,-1.2889321513636531
10,-1.4719691101232448
11,-0.8390416120783196
12,0.23566805209868333
13,-1.1839567825901205
14,-0.8291098059514963
15,0.36950042792945503
16,-0.6856536827348555
17,-0.3292427996585616
18,-0.916428453988776
19,-0.451261727879318
20,0.9616013830422945
21,-0.8085194860507736
22,-1.056022065128738
23,-1.3912501469403364
24,-1.1536272561815726
25,-1.6569438066647657
26,-1.8845209168767219
27,-1.175129066389941
28,-1.419496554082197
29,-1.8534198817278642
30,0.28163105669979377
31,-0.4594277925186532
32,-2.2468864007002236
33,-0.9870426218847715
34,-2.473297026034806
35,-1.511428246780523
36,0.13081640044122894
37,0.009655589687528825
38,-1.5573175219182447
39,-0.4478038327229184
40,-2.4421586088054577
41,-1.9885253923360786
42,-2.3438496865724168
43,-4.728503319772936
44,2.263034640071937
45,-1.2408269739156457
46,-1.6429121779576146
47,-0.49615938071527566
48,-1.2491827133941014
49,-2.012686542856303
50,2.330467733844042
51,3.860029959415215
52,-1.1588079295349132
53,-0.6911436901368087
54,-2.8315401769611848
55,-1.4681029731935962
56,1.0395050134494197
57,-2.35734672006076
58,-1.1125189629413583
59,-0.5887894333372288
60,-0.7883017767853948
61,-2.5037538724957806
62,-1.6508876479267665
63,-2.207616260933309
64,-1.2655090401907017
65,0.15222324814602176
66,-1.5636183746314825
67,-0.49386487361690756
68,-0.7852400238999272
69,-0.32800347430437277
70,-2.0954778689093594
71,-1.7107855958708085
72,-2.0755786988084495
73,-2.292768698139787
74,-1.2661664350836352
75,-1.8088720371081584
76,-1.5842712652448248
77,-1.752853385404042
78,-0.4288017727516849
79,-1.1601748304319013
80,-1.3658552579901926
81,-1.1765908324147862
82,-1.3262102695200977
83,-0.9618306946797253
84,-0.663761792090375
85,-1.6707853734028997
86,-1.4389968355852487
87,-1.811561853291595
88,-0.9142640231368356
89,0.3565821226753205
90,-0.8279736449752038
