,0
0,-0.30178500039806616
1,-0.8489246401885281
2,-0.6970582931951627
3,-0.936065050318167
4,-0.3222751127319285
5,-0.10555684799948648
6,0.04582055554270294
7,-0.08772404259797309
8,-0.3075515744179775
9,-0.33093301321967594
10,-0.5066911885881054
11,-0.222630439772507
12,0.09033775919422306
13,-0.3343715735553227
14,-0.24859137244427934
15,0.09500482033053334
16,-0.19554708109329022
17,-0.083492553452866
18,-0.31908908596959945
19,-0.11261066211775982
20,0.27865751332097977
21,-0.4001019391692785
22,-0.3392110353058103
23,-0.3389989768961592
24,-0.4284832387531662
25,-0.535811487297906
26,-0.46719066835780326
27,-0.27924404463810093
28,-0.9924395961193616
29,-0.8041884877905173
30,0.07199749803502219
31,-0.12770334030869335
32,-1.2230255603047782
33,-0.24654392025191754
34,-0.5869811554380632
35,-0.5906912434004777
36,0.03873205348309429
37,0.0027511141366282797
38,-0.39274932738416074
39,-0.11651879685927101
40,-0.5840671088972986
41,-0.501972791256245
42,-0.8086334359578737
43,-1.564031537604897
44,0.910614391850664
45,-0.47236034483050854
46,-0.5999207939295026
47,-0.17729517166164244
48,-0.6949341618706937
49,-0.5194082170184758
50,0.9833606077177933
51,1.3434178350045751
52,-0.38546487424427545
53,-0.3970444244046319
54,-0.8021825157730268
55,-0.4491398283041624
56,0.3853089335335916
57,-0.637148290809916
58,-0.3182577760317489
59,-0.1823118898511448
60,-0.26632835747446365
61,-0.5857258297747634
62,-0.4899824639639875
63,-0.4937182416405855
64,-0.30578359571793284
65,0.07486627902088698
66,-0.3840758607643305
67,-0.13725244499040956
68,-0.3753916532828924
69,-0.10362543513201568
70,-0.4991442654980955
71,-0.5155498582469664
72,-0.5290456131109225
73,-0.5503512313721016
74,-0.39115029245009875
75,-0.4362820959848226
76,-0.4675296031625752
77,-0.48319813862506905
78,-0.14108155654241097
79,-1.2315544541881442
80,-0.4956776031651066
81,-0.3067757337877483
82,-0.32378406589181064
83,-0.27935632879096994
84,-0.17842985552397608
85,-0.5791333114162657
86,-0.42869165337358667
87,-0.467708199421363
88,-0.2568278006206721
89,0.15363327732275892
90,-0.2877069182424747
91,-0.594804950729908
92,1.9605992281205233
93,-0.3754865613451891
94,-0.5455300072332646
95,-0.3239149184662351
96,-0.5598717011203317
97,27.425337965405337
98,-0.28346657285142834
99,-0.4844927179224287
100,-0.47905293167745944
101,-0.45628318803870077
102,-0.32032352174851886
103,-0.42365615587095595
104,-0.5317375492736421
105,-0.6200888897610064
106,-0.0967020196498548
107,-0.5139948715968212
108,-0.3752672178596327
109,-0.3884617021490984
110,-0.3180878421094822
111,-0.12230962115771643
112,-0.30824966879095417
113,-0.5569743655872582
114,0.5964628439634747
115,-0.4444433608944726
116,-0.2608893247313872
117,-0.3553824639185695
118,-0.4496956404813613
119,2.2110636571496207
120,-0.722477106859459
121,-0.5106289450888891
122,-0.29107350238906005
123,-0.42423852939463924
124,-1.1307309402577792
125,-0.18177641148880894
126,-0.7227923175339228
127,-0.3859287285253279
128,-0.05380079589548158
129,-0.3919328239611173
130,0.2757160287248216
131,-0.1777967135627625
132,-0.43105546222051166
133,-0.6559505255132091
134,-0.05470903843462514
135,-1.0202023113023648
136,-0.24458852625853966
137,-0.385149669207423
138,-0.29248843491429377
139,-0.5162228118905803
140,-0.35887831727848396
141,-0.40283858887654284
142,-0.1821091141723941
143,-0.19436584996097295
144,-0.5635902662072769
145,-0.36678741282131366
146,-0.6069444307413101
147,-0.4951885879710853
148,-0.22602954783283585
149,-0.5023423914320368
150,-0.438160141502482
151,-0.2861278334678061
152,-0.15068835111789533
153,-0.3374987513786171
154,-0.381966620565509
155,-0.5388150270945947
156,-0.3594111245819408
157,-0.2074413718431448
158,-0.4570926220611325
159,-0.09468929880019927
160,-0.27611733379030434
161,-0.3369238941550105
162,0.5112305023176996
163,-0.4966126443768785
164,-0.3877243183245402
165,-1.2222435343559246
166,-0.6117275926946414
167,-0.44664136927468484
168,-0.7494096095295044
169,0.7405348953593235
170,-0.8263474253516173
171,1.0224075387050504
172,-0.6133134520433368
173,-0.39751491085700813
174,-0.4758384464044975
175,-0.037629371504254605
176,-0.16016350744919974
177,-0.18419030581613713
178,-0.04211055056698509
179,-0.4414801762731636
180,-0.33086559412139926
181,0.725008769487567
182,-0.27272620260624486
183,-0.0039587641096790445
184,-0.16072695546519591
185,-0.44684518180076427
186,-0.3044417443973708
187,-0.4380151626329984
188,-1.1168222135526737
189,-0.1473406833735119
190,-0.3891635245165279
191,-0.4502405633831157
192,0.7536957430619108
193,0.611252655415911
194,-0.4317776501583873
195,-0.48485057773041507
196,-0.3317187315969446
197,-0.3991749665603395
198,-0.13848083071998316
199,-0.5744536761880457
200,0.2855677912223906
201,-0.25952501699452435
202,-0.47977805364931625
203,-0.6426121863403366
204,0.051797193073278444
205,-0.298107030383877
206,-0.20480954457792025
207,-0.32795983283159147
208,-0.05291554672276817
209,-0.28947680946618876
210,0.6052526981965005
211,4.1623462386224475
212,-0.30142056317629223
213,-0.8904539863185836
214,-0.7850583371995653
215,-0.3293199158079774
216,-0.638863694176162
217,-0.40679815692935356
218,-0.15162927419217118
219,-0.6861180657938185
220,-0.4087847314859264
221,-0.3997733181523145
222,-0.5515615869445164
223,-0.650303576200643
224,-0.1763096971392215
225,-1.2384067157326204
226,-1.8170608676660107
227,-0.4549066621466662
228,-0.3519970473490432
229,-0.6152476242638921
230,-0.16101321791806072
231,-0.5016420907494723
232,0.1533358001259081
233,-0.36776038364252234
234,-0.10690716546451154
235,-0.10840840531327788
236,-0.3068206714363198
237,0.0757351060537674
238,-0.46227981025472953
239,0.46360215326380994
