date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-08-08,5.5,5.94,5.92,5.49,2311962.75,0.52,9.63,5.654,5.819,5.877,1197413.52,916012.37,921056.02
2019-08-07,5.5,5.54,5.4,5.4,706446.06,-0.1,-1.82,5.658,5.814,5.879,846475.42,730389.95,855737.91
2019-08-06,5.54,5.56,5.5,5.34,1383995.12,-0.2,-3.51,5.778,5.856,5.909,839134.15,725391.99,872608.68
2019-08-05,5.74,5.8,5.7,5.7,665290.5,-0.05,-0.87,5.88,5.885,5.94,679121.69,653377.71,866175.88
2019-08-02,5.81,5.83,5.75,5.7,919373.19,-0.19,-3.2,5.944,5.887,5.959,679048.41,697345.8,964678.77
2019-08-01,6.02,6.02,5.94,5.93,557272.25,-0.06,-1.0,5.984,5.907,5.987,634611.21,674405.25,1032484.7
2019-07-31,5.98,6.04,6.0,5.93,669739.69,-0.01,-0.17,5.97,5.908,6.012,614304.47,712629.28,1258897.01
2019-07-30,6.0,6.07,6.01,5.98,583932.81,-0.01,-0.17,5.934,5.919,6.037,611649.84,746240.17,1414196.37
2019-07-29,5.98,6.07,6.02,5.98,664924.12,0.07,1.18,5.89,5.927,6.038,627633.74,793757.59,1574231.96
2019-07-26,5.84,5.96,5.95,5.82,697187.19,0.08,1.36,5.83,5.938,6.017,715643.19,906391.48,1605710.2
2019-07-25,5.86,5.89,5.87,5.83,455738.56,0.05,0.86,5.83,5.935,5.998,714199.29,926099.68,1618004.21
2019-07-24,5.83,5.92,5.82,5.81,656466.5,0.03,0.52,5.846,5.943,5.98,810954.08,981085.88,1690151.72
2019-07-23,5.74,5.83,5.79,5.72,663852.31,0.07,1.22,5.904,5.962,5.969,880830.5,1019825.38,1721204.45
2019-07-22,5.95,5.95,5.72,5.71,1104971.38,-0.23,-3.87,5.964,5.994,5.949,959881.44,1078974.06,1733289.4
2019-07-19,5.97,6.03,5.95,5.94,689967.69,0.0,0.0,6.046,6.031,5.933,1097139.76,1232011.74,1713176.56
2019-07-18,6.04,6.05,5.95,5.93,939512.5,-0.15,-2.46,6.04,6.066,5.907,1138000.07,1390564.15,1743279.17
2019-07-17,6.12,6.21,6.11,6.1,1005848.62,0.02,0.33,6.04,6.116,5.878,1151217.67,1805164.75,1760055.35
2019-07-16,6.08,6.17,6.09,6.06,1059107.0,-0.04,-0.65,6.02,6.154,5.835,1158820.25,2082152.56,1749706.63
2019-07-15,5.91,6.15,6.13,5.9,1791263.0,0.21,3.55,6.024,6.148,5.791,1198066.67,2354706.34,1723228.03
2019-07-12,5.96,5.98,5.92,5.84,894269.25,-0.03,-0.5,6.016,6.096,5.747,1366883.72,2305028.93,1673415.62
2019-07-11,6.06,6.11,5.95,5.93,1005600.5,-0.06,-1.0,6.092,6.06,5.716,1643128.22,2309908.74,1749804.04
2019-07-10,6.09,6.15,6.01,6.0,1043861.5,-0.1,-1.64,6.192,6.017,5.672,2459111.82,2399217.56,1729580.94
2019-07-09,6.05,6.2,6.11,6.03,1255339.12,0.02,0.33,6.288,5.975,5.626,3005484.87,2422583.52,1710326.85
2019-07-08,6.28,6.28,6.09,5.98,2635348.25,-0.21,-3.33,6.272,5.904,5.578,3511346.0,2387604.74,1695886.25
2019-07-05,6.38,6.52,6.3,6.26,2275491.75,-0.15,-2.33,6.176,5.834,5.524,3243174.13,2194341.37,1592908.57
2019-07-04,6.43,6.86,6.45,6.37,5085518.5,-0.04,-0.62,6.028,5.747,5.459,2976689.26,2095994.19,1506025.47
2019-07-03,6.05,6.61,6.49,5.94,3775726.75,0.46,7.63,5.842,5.639,5.388,2339323.29,1714945.94,1274816.1
2019-07-02,6.17,6.17,6.03,5.94,3784644.75,0.42,7.49,5.662,5.516,5.315,1839682.16,1417260.7,1120283.23
2019-07-01,5.62,5.71,5.61,5.6,1294488.88,0.05,0.9,5.536,5.434,5.27,1263863.47,1091749.72,956630.52
