date,open,high,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,close
2019-08-08,83.99,84.55,83.4,567264.31,1.04,1.25,84.626,86.826,87.378,704755.76,583871.07,535963.93,84.51
2019-08-07,84.81,84.95,83.35,532355.75,-1.04,-1.23,85.226,87.316,87.551,676822.26,572750.83,533344.15,83.47
2019-08-06,83.1,84.88,82.15,1010340.81,-0.1,-0.12,86.15,87.854,87.772,688902.07,578973.13,524534.6,84.51
2019-08-05,85.06,85.86,84.58,684847.0,-1.42,-1.65,87.244,88.153,87.923,579793.81,516122.03,501869.27,84.61
2019-08-02,86.1,86.49,85.5,728970.94,-1.48,-1.69,88.212,88.46,88.122,516473.69,490260.06,507015.2,86.03
2019-08-01,87.5,88.34,87.01,427596.81,-0.58,-0.66,89.026,88.692,88.363,462986.38,477722.06,496092.77,87.51
2019-07-31,89.41,89.5,87.88,592754.81,-1.89,-2.1,89.406,88.614,88.482,468679.39,472744.05,504396.29,88.09
2019-07-30,90.35,90.9,89.68,464799.47,0.53,0.59,89.558,88.504,88.611,469044.18,457303.52,507307.95,89.98
2019-07-29,89.84,90.08,89.05,368246.44,-0.65,-0.72,89.062,88.201,88.665,452450.26,453910.5,514392.81,89.45
2019-07-26,88.82,90.17,88.82,461534.38,0.69,0.77,88.708,88.064,88.784,464046.42,476538.44,542285.36,90.1
2019-07-25,89.1,89.55,88.54,456061.84,0.56,0.63,88.358,87.929,88.71,492457.74,488056.78,548985.36,89.41
2019-07-24,87.97,89.46,87.8,594578.75,1.35,1.54,87.822,87.786,88.642,476808.71,493937.48,566909.54,88.85
2019-07-23,87.91,88.2,87.1,381829.88,-0.18,-0.2,87.45,87.689,88.519,445562.87,470096.07,560062.12,87.5
2019-07-22,88.32,88.98,87.68,426227.25,-0.67,-0.76,87.34,87.692,88.476,455370.74,487616.51,593567.45,87.68
2019-07-19,87.31,88.7,87.31,603591.0,1.62,1.87,87.42,87.783,88.502,489030.46,523770.34,601958.69,88.35
2019-07-18,86.6,87.39,86.33,377816.66,-0.26,-0.3,87.5,88.033,88.483,483655.81,514463.48,614682.15,86.73
2019-07-17,86.95,87.58,86.4,438349.56,0.04,0.05,87.75,88.35,88.572,511066.26,536048.54,672451.98,86.99
2019-07-16,87.97,88.18,86.9,430869.22,-1.13,-1.28,87.928,88.717,88.399,494629.26,557312.38,706470.3,86.95
2019-07-15,88.1,88.77,86.62,594525.88,-0.67,-0.76,88.044,89.128,88.1,519862.28,574875.11,708130.52,88.08
2019-07-12,88.15,89.47,88.15,576717.75,0.77,0.88,88.146,89.504,87.692,558510.21,608032.28,696598.31,88.75
2019-07-11,88.49,89.3,87.69,514868.88,0.1,0.11,88.566,89.49,87.242,545271.14,609913.94,688199.07,87.98
2019-07-10,88.19,88.21,87.52,356164.59,0.35,0.4,88.95,89.497,86.868,561030.81,639881.6,685528.42,87.88
2019-07-09,88.68,88.85,86.99,557034.31,-1.06,-1.2,89.506,89.349,86.5,619995.49,650028.18,691617.84,87.53
2019-07-08,89.99,89.99,87.78,787765.5,-2.26,-2.49,90.212,89.259,86.208,629887.94,699518.39,710832.0,88.59
2019-07-05,90.0,91.14,89.83,510522.41,0.95,1.06,90.862,89.221,85.734,657554.34,680147.04,703731.13,90.85
2019-07-04,90.7,91.14,89.35,593667.25,-0.76,-0.84,90.414,88.933,85.047,674556.74,714900.82,699331.16,89.9
2019-07-03,91.16,91.6,89.8,650988.0,-0.4,-0.44,90.044,88.793,84.427,718732.39,808855.43,694006.36,90.66
2019-07-02,91.69,91.69,90.88,606496.56,-0.78,-0.85,89.192,88.081,83.792,680060.86,855628.22,687063.03,91.06
2019-07-01,90.6,92.47,90.6,926097.5,3.23,3.65,88.306,87.072,83.202,769148.84,841385.92,682803.62,91.84
2019-06-28,87.96,89.32,87.63,595534.38,0.56,0.64,87.58,85.88,82.56,702739.74,785164.34,661332.24,88.61
2019-06-27,87.0,88.47,86.99,814545.5,1.65,1.91,87.452,84.994,82.084,755244.89,766484.2,655979.36,88.05
2019-06-26,86.75,87.3,86.4,457630.34,-0.23,-0.27,87.542,84.238,81.67,898978.47,731175.24,663665.74,86.4
2019-06-25,88.1,88.18,85.32,1051936.5,-1.58,-1.79,86.97,83.65,81.26,1031195.58,733207.5,685476.22,86.63
2019-06-24,87.9,88.54,87.22,594052.0,0.24,0.27,85.838,83.157,80.787,913623.0,722145.61,662365.99,88.21
2019-06-21,87.95,88.56,87.23,858060.12,-0.53,-0.6,84.18,82.246,80.202,867588.94,727315.22,658281.04,87.97
2019-06-20,83.92,88.5,83.92,1533213.38,4.96,5.94,82.536,81.16,79.575,777723.51,683761.5,647661.58,88.5
2019-06-19,84.01,84.57,83.5,1118715.88,2.57,3.17,80.934,80.06,79.032,563372.01,579157.29,596837.5,83.54
2019-06-18,80.12,81.18,79.85,464073.62,1.05,1.31,80.33,79.503,78.765,435219.42,518497.85,572411.61,80.97
2019-06-17,79.8,80.67,79.5,363881.72,0.17,0.21,80.476,79.331,78.61,530668.22,524221.32,586458.12,79.92
2019-06-14,80.51,81.05,79.67,408732.97,-0.74,-0.92,80.312,79.239,78.569,587041.49,537500.14,602554.13,79.75
2019-06-13,80.8,81.0,79.8,461455.84,-0.03,-0.04,79.784,79.173,78.63,589799.49,545474.52,613659.05,80.49
2019-06-12,81.1,81.42,80.33,477952.94,-1.18,-1.44,79.186,79.102,78.633,594942.58,596156.25,630751.27,80.52
2019-06-11,79.26,81.91,79.13,941317.62,2.6,3.29,78.676,78.869,78.522,601776.29,637744.95,645992.7,81.7
2019-06-10,77.79,79.38,77.49,645748.06,1.99,2.58,78.186,78.417,78.369,517774.43,602586.36,641044.36,79.1
2019-06-06,77.75,77.9,76.88,422522.97,-0.39,-0.5,78.166,78.157,78.483,487958.8,589246.87,678361.87,77.11
2019-06-05,78.75,78.9,77.46,487171.31,-0.47,-0.6,78.562,77.99,78.461,501149.54,611561.65,713521.81,77.5
2019-06-04,79.18,79.48,77.86,512121.47,-1.28,-1.61,79.018,78.004,78.525,597369.92,614517.71,732582.03,77.97
2019-06-03,79.77,80.2,78.69,521308.34,0.25,0.32,79.062,78.027,78.685,673713.61,626325.36,755723.53,79.25
2019-05-31,79.15,80.57,79.0,496669.91,-0.09,-0.11,78.648,77.889,78.782,687398.3,648694.92,820088.58,79.0
2019-05-30,79.4,79.75,78.59,488476.69,-0.69,-0.86,78.148,77.899,79.137,690534.95,667608.12,841150.19,79.09
2019-05-29,77.5,80.98,77.18,968273.19,1.59,2.03,77.418,78.087,79.504,721973.76,681843.59,864055.15,79.78
2019-05-28,77.44,78.77,77.21,893839.94,1.01,1.31,76.99,78.163,79.671,631665.51,665346.3,848089.45,78.19
2019-05-27,76.25,77.66,75.35,589731.75,0.68,0.89,76.992,78.174,79.931,578937.11,654240.44,836185.91,77.18
2019-05-24,75.9,77.27,75.8,512353.16,1.06,1.41,77.13,78.321,80.324,609991.53,679502.35,847341.92,76.5
2019-05-23,76.5,76.83,75.05,645670.75,-1.1,-1.44,77.65,78.809,80.802,644681.3,767476.86,855630.08,75.44
2019-05-22,78.22,78.5,77.2,516731.94,-0.56,-0.72,78.756,78.931,81.278,641713.43,815481.97,869952.3,77.64
2019-05-21,78.05,79.25,77.68,630197.94,0.33,0.42,79.336,79.045,81.746,699027.09,850646.35,883572.3,78.2
2019-05-20,78.5,79.28,77.19,745003.88,-1.23,-1.55,79.356,79.342,82.051,729543.78,885121.69,871926.76,77.87
2019-05-17,81.06,81.2,78.98,685802.0,-1.87,-2.31,79.512,79.675,82.381,749013.16,991482.25,866272.34,79.1
2019-05-16,80.82,81.53,80.0,630831.38,0.43,0.53,79.968,80.375,82.677,890272.41,1014692.25,883793.38,80.97
2019-05-15,78.95,81.37,78.9,803300.25,2.24,2.86,79.106,80.921,82.711,989250.51,1046266.71,901749.46,80.54
2019-05-14,77.96,79.4,77.85,782781.38,-0.35,-0.45,78.754,81.178,82.706,1002265.61,1030832.59,887923.42,78.3
2019-05-13,79.25,80.18,78.5,842350.81,-2.73,-3.35,79.328,81.688,82.827,1040699.6,1018131.38,886615.79,78.65
2019-05-10,77.95,81.87,77.3,1392098.25,4.72,6.16,79.838,82.326,82.996,1233951.34,1015181.49,883679.27,81.38
2019-05-09,78.26,78.26,76.11,1125721.88,-2.12,-2.69,80.782,82.794,82.982,1139112.09,943783.3,844161.25,76.66
2019-05-08,78.73,80.55,78.38,868375.75,-2.39,-2.94,82.736,83.624,83.178,1103282.91,924422.63,833681.27,78.78
2019-05-07,81.78,82.28,79.89,974951.31,-0.03,-0.04,83.602,84.446,83.249,1059399.57,916498.25,830043.79,81.17
2019-05-06,82.8,83.6,79.66,1808609.5,-4.9,-5.69,84.048,84.759,83.184,995563.16,858731.82,819307.21,81.2
2019-04-30,86.5,87.48,84.53,917902.0,-0.33,-0.38,84.814,85.087,83.072,796411.64,741062.44,767435.51,86.1
2019-04-29,83.88,87.13,83.3,946576.0,3.32,4.0,84.806,84.978,82.697,748454.51,752894.51,779946.08,86.43
2019-04-26,83.0,84.43,82.8,648959.06,-0.29,-0.35,84.512,84.501,82.23,745562.35,757232.21,804085.04,83.11
2019-04-25,84.35,84.99,83.15,655769.25,-1.63,-1.92,85.29,84.234,81.745,773596.93,745014.24,795847.53,83.4
2019-04-24,86.08,86.88,83.55,812851.88,-1.03,-1.2,85.47,83.965,81.286,721900.48,755100.21,801049.95,85.03
2019-04-23,84.75,87.38,84.5,678116.38,1.1,1.29,85.36,83.665,80.669,685713.23,752177.06,792131.1,86.06
2019-04-22,87.22,88.09,84.5,932115.19,-2.04,-2.35,85.15,83.169,79.98,757334.51,744539.21,807777.9,84.96
2019-04-19,85.27,87.0,84.2,789131.94,2.7,3.2,84.49,82.732,79.468,768902.07,742939.92,799772.35,87.0
2019-04-18,84.69,85.02,83.88,397287.03,-0.18,-0.21,83.178,82.052,78.908,716431.56,743589.32,802628.69,84.3
2019-04-17,84.92,85.35,83.8,631915.62,-0.53,-0.62,82.46,81.608,78.521,788299.93,779882.6,836686.29,84.48
2019-04-16,81.22,85.13,80.9,1036222.75,3.35,4.1,81.97,81.056,78.064,818640.88,793808.58,855695.34,85.01
2019-04-15,82.23,83.88,81.6,989953.0,1.22,1.52,81.188,80.415,77.564,731743.9,806997.65,861703.81,81.66
2019-04-12,80.35,81.16,79.9,526779.38,-0.27,-0.34,80.974,79.959,77.173,716977.77,850937.88,874968.48,80.44
2019-04-11,82.65,83.62,80.16,756628.88,-1.32,-1.61,80.926,79.255,76.791,770747.09,846680.81,901428.03,80.71
2019-04-10,80.8,82.11,79.66,783620.38,0.93,1.15,80.756,78.606,76.333,771465.28,846999.7,933869.79,82.03
2019-04-09,80.4,82.0,80.37,601737.88,0.51,0.63,80.142,77.672,75.694,768976.28,832085.14,943149.72,81.1
2019-04-08,80.7,82.25,80.02,916122.31,0.39,0.49,79.642,76.791,75.078,882251.4,871016.59,950655.71,80.59
2019-04-04,80.08,80.96,79.25,795626.0,0.34,0.43,78.944,76.204,74.484,984897.99,856604.78,950512.4,80.2
2019-04-03,78.48,80.15,78.37,760219.81,0.9,1.14,77.584,75.764,73.988,922614.54,861668.06,961404.75,79.86
