date,open,high,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,close
2019-08-08,3.85,3.88,3.76,2855911.75,0.02,0.53,3.728,3.666,3.625,3182419.3,2280628.81,1786893.38,3.8
2019-08-07,3.75,3.82,3.73,3230503.0,0.09,2.44,3.684,3.647,3.614,2946631.13,2123408.51,1749625.04,3.78
2019-08-06,3.8,3.85,3.65,3874615.5,-0.1,-2.64,3.66,3.633,3.604,2625448.15,1925306.66,1638999.37,3.69
2019-08-05,3.57,3.83,3.57,4581776.5,0.21,5.87,3.648,3.625,3.602,2185772.93,1630782.37,1495374.28,3.79
2019-08-02,3.64,3.66,3.56,1369289.75,0.0,0.0,3.604,3.607,3.597,1431719.09,1317328.71,1365871.14,3.58
2019-08-01,3.56,3.6,3.52,1676970.88,-0.08,-2.19,3.604,3.616,3.606,1378838.31,1448917.28,1364064.09,3.58
2019-07-31,3.62,3.67,3.6,1624588.12,0.03,0.83,3.61,3.611,3.613,1300185.89,1413472.92,1416555.86,3.66
2019-07-30,3.58,3.63,3.56,1676239.38,0.06,1.68,3.606,3.597,3.622,1225165.16,1344733.86,1505058.6,3.63
2019-07-29,3.59,3.6,3.55,811507.31,-0.01,-0.28,3.602,3.591,3.629,1075791.81,1263981.2,1539073.43,3.57
2019-07-26,3.57,3.58,3.53,1104885.88,-0.03,-0.83,3.61,3.589,3.638,1202938.33,1282072.57,1650464.33,3.58
2019-07-25,3.61,3.63,3.58,1283708.75,-0.03,-0.82,3.628,3.583,3.647,1518996.25,1293157.96,1754769.38,3.61
2019-07-24,3.6,3.64,3.59,1249484.5,0.03,0.83,3.612,3.58,3.653,1526759.95,1375841.58,1845432.37,3.64
2019-07-23,3.56,3.61,3.56,929372.62,0.0,0.0,3.588,3.574,3.655,1464302.55,1352692.09,2054217.52,3.61
2019-07-22,3.6,3.63,3.54,1447239.88,-0.06,-1.64,3.58,3.578,3.67,1452170.59,1359966.19,2425035.32,3.61
2019-07-19,3.62,3.69,3.58,2685175.5,0.14,3.97,3.568,3.587,3.677,1361206.81,1414413.57,2543755.18,3.67
2019-07-18,3.6,3.61,3.52,1322527.25,0.01,0.28,3.538,3.596,3.68,1067319.66,1279210.89,2748133.86,3.53
2019-07-17,3.53,3.55,3.5,937197.5,-0.05,-1.4,3.548,3.615,3.685,1224923.21,1419638.79,2952904.45,3.52
2019-07-16,3.53,3.58,3.52,868712.81,0.02,0.56,3.56,3.646,3.683,1241081.62,1665383.34,2995881.62,3.57
2019-07-15,3.53,3.56,3.48,992421.0,0.03,0.85,3.576,3.667,3.678,1267761.8,1814165.66,3025069.38,3.55
2019-07-12,3.54,3.56,3.49,1215739.75,-0.06,-1.68,3.606,3.686,3.672,1467620.32,2018856.09,3064590.72,3.52
2019-07-11,3.6,3.64,3.55,2110545.0,0.1,2.87,3.654,3.711,3.67,1491102.12,2216380.81,3147158.93,3.58
2019-07-10,3.62,3.65,3.57,1017989.56,-0.07,-1.92,3.682,3.726,3.661,1614354.37,2315023.16,3133819.66,3.58
2019-07-09,3.65,3.66,3.61,1002113.69,-0.05,-1.35,3.732,3.735,3.653,2089685.06,2755742.96,3270485.38,3.65
2019-07-08,3.7,3.72,3.63,1991713.62,-0.06,-1.6,3.758,3.762,3.636,2360569.52,3490104.44,3297723.05,3.7
2019-07-05,3.72,3.77,3.72,1333148.75,0.04,1.07,3.766,3.767,3.614,2570091.85,3673096.8,3277518.13,3.76
2019-07-04,3.82,3.85,3.69,2726806.25,-0.11,-2.87,3.768,3.764,3.591,2941659.5,4217056.83,3271618.75,3.72
2019-07-03,3.96,3.99,3.82,3394643.0,0.05,1.32,3.77,3.755,3.573,3015691.95,4486170.1,3214133.68,3.83
2019-07-02,3.71,3.79,3.68,2356536.0,0.04,1.07,3.738,3.719,3.547,3421800.85,4326379.9,3130029.26,3.78
2019-07-01,3.65,3.77,3.62,3039325.25,-0.03,-0.8,3.766,3.688,3.525,4619639.35,4235973.09,3145600.45,3.74
2019-06-28,3.79,3.88,3.75,3190987.0,0.04,1.07,3.768,3.657,3.5,4776101.75,4110325.35,3050580.69,3.77
2019-06-27,3.66,3.76,3.65,3096968.5,0.06,1.64,3.76,3.628,3.472,5492454.15,4077937.05,2929203.12,3.73
2019-06-26,3.8,3.82,3.65,5425187.5,-0.25,-6.38,3.74,3.595,3.447,5956648.25,3952616.15,2806350.7,3.67
2019-06-25,3.83,3.98,3.82,8345728.5,0.17,4.53,3.7,3.57,3.425,5230958.95,3785227.8,2583556.83,3.92
2019-06-24,3.79,3.83,3.71,3821637.25,0.02,0.54,3.61,3.51,3.39,3852306.83,3105341.66,2204524.13,3.75
2019-06-21,3.72,3.9,3.64,6772749.0,0.1,2.75,3.546,3.46,3.363,3444548.95,2881939.46,2035941.97,3.73
2019-06-20,3.57,3.68,3.52,5417939.0,0.16,4.61,3.496,3.417,3.336,2663419.95,2326180.68,1721577.42,3.63
2019-06-19,3.45,3.5,3.42,1796741.0,0.0,0.0,3.45,3.39,3.316,1948584.05,1942097.25,1479235.45,3.47
2019-06-18,3.41,3.48,3.41,1452467.88,0.04,1.17,3.44,3.374,3.304,2339496.65,1933678.63,1432931.2,3.47
2019-06-17,3.42,3.48,3.41,1782847.88,-0.05,-1.44,3.41,3.361,3.29,2358376.5,2055227.81,1394831.9,3.43
2019-06-14,3.42,3.49,3.37,2867104.0,0.08,2.35,3.374,3.343,3.279,2319329.97,1990836.04,1365725.43,3.48
2019-06-13,3.39,3.43,3.36,1843759.5,-0.02,-0.58,3.338,3.316,3.271,1988941.4,1780469.2,1297692.18,3.4
