date,open,high,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,close
2019-08-08,34.88,35.8,33.88,86531.1,0.26,0.74,35.006,35.226,33.805,71559.81,62684.34,57757.36,35.5
2019-08-07,35.76,36.43,34.96,59824.87,0.48,1.38,34.906,35.238,33.553,64428.29,62597.02,55813.62,35.24
2019-08-06,33.87,35.58,32.68,67611.76,0.48,1.4,34.906,35.137,33.278,61813.37,64768.99,54498.81,34.76
2019-08-05,35.0,35.82,34.12,48261.52,-0.97,-2.75,34.966,34.952,33.049,59840.65,63444.47,52395.54,34.28
2019-08-02,33.16,35.93,33.1,95569.79,0.25,0.71,35.314,34.685,32.826,63379.06,62324.53,51539.3,35.25
2019-08-01,35.05,35.68,34.54,50873.51,-0.24,-0.68,35.446,34.328,32.59,53808.86,55594.1,48868.53,35.0
2019-07-31,34.5,35.96,34.48,46750.29,0.18,0.51,35.57,33.975,32.337,60765.75,54852.0,48100.03,35.24
2019-07-30,36.21,36.3,34.93,57748.12,-0.96,-2.67,35.368,33.711,32.107,67724.61,55554.53,47380.94,35.06
2019-07-29,35.9,36.96,35.31,65953.59,0.11,0.31,34.938,33.401,31.92,67048.3,56732.46,47477.33,36.02
2019-07-26,35.64,36.42,35.02,47718.8,0.29,0.81,34.056,32.929,31.718,61269.99,55024.15,49554.22,35.91
2019-07-25,34.18,36.05,33.98,85657.95,1.39,4.06,33.21,32.383,31.391,57379.33,52830.38,49858.02,35.62
2019-07-24,33.18,34.95,33.18,81544.6,1.32,4.01,32.38,31.868,31.09,48938.24,49030.22,49949.01,34.23
2019-07-23,31.82,33.06,31.22,54366.55,1.3,4.11,32.054,31.419,30.816,43384.45,44228.63,49994.77,32.91
2019-07-22,32.2,32.35,30.49,37062.07,-0.07,-0.22,31.864,31.146,30.537,46416.62,41346.61,49733.85,31.61
2019-07-19,31.8,32.28,31.3,28265.49,0.21,0.67,31.802,30.966,30.341,48778.3,40754.07,50437.89,31.68
2019-07-18,32.23,32.58,31.2,43452.51,-1.13,-3.47,31.556,30.851,30.153,48281.44,42142.97,52236.73,31.47
2019-07-17,31.76,33.5,31.76,53775.65,0.64,2.0,31.356,30.699,29.95,49122.2,41348.07,54421.54,32.6
2019-07-16,31.15,33.3,31.13,69527.39,0.66,2.11,30.784,30.502,29.712,45072.81,39207.34,57844.69,31.96
2019-07-15,30.16,31.93,29.74,48870.45,0.85,2.79,30.428,30.439,29.38,36276.59,38222.21,55316.07,31.3
2019-07-12,30.71,30.71,29.89,25781.18,-0.02,-0.07,30.13,30.507,29.07,32729.84,44084.3,54698.89,30.45
2019-07-11,29.92,30.85,29.92,47656.34,0.73,2.46,30.146,30.398,28.792,36004.5,46885.65,56028.9,30.47
2019-07-10,30.75,30.75,29.6,33528.7,-0.44,-1.46,30.042,30.311,28.551,33573.94,50867.8,55594.38,29.74
2019-07-09,29.64,30.29,29.48,25546.28,0.37,1.24,30.22,30.212,28.358,33341.88,55760.91,56231.97,30.18
2019-07-08,30.92,30.92,29.54,31136.72,-0.72,-2.36,30.45,29.927,28.143,40167.82,58121.1,57909.36,29.81
2019-07-05,30.27,31.02,29.97,42154.45,0.58,1.94,30.884,29.716,27.919,55438.76,60121.72,58319.16,30.53
